Year,rainfall_anomaly
1940,26.7316
1941,-106.59222
1942,15.954118
1943,199.85837
1944,118.969505
1945,-63.94591
1946,-57.327713
1947,-1.9443226
1948,98.21945
1949,219.54219
1950,208.76927
1951,43.61611
1952,78.400314
1953,247.55156
1954,64.7286
1955,111.36773
1956,177.2929
1957,-77.56284
1958,154.4205
1959,191.6352
1960,-22.912859
1961,138.57518
1962,24.588423
1963,28.200544
1964,144.62468
1965,-81.46431
1966,73.48865
1967,156.06989
1968,38.203556
1969,-108.41011
1970,49.232952
1971,57.69583
1972,-201.40382
1973,84.993484
1974,-210.98747
1975,95.83806
1976,-82.610176
1977,-98.390976
1978,-51.594074
1979,-226.54729
1980,-41.21335
1981,-159.41173
1982,-207.0603
1983,44.434765
1984,-100.12882
1985,-173.33855
1986,-122.24632
1987,-289.9924
1988,52.33301
1989,-43.79973
1990,245.92723
1991,-50.164577
1992,-185.02133
1993,-10.090862
1994,90.64245
1995,0.9711952
1996,6.335738
1997,21.218346
1998,15.934201
1999,-96.704315
2000,-105.734505
2001,-77.14749
2002,-185.1516
2003,40.666023
2004,-80.351234
2005,-28.946852
2006,-4.0922074
2007,109.854805
2008,76.347404
2009,-69.48915
2010,166.15286
2011,65.32326
2012,-51.510548
2013,165.24393
2014,-83.062416
2015,-25.082855
2016,27.995834
2017,21.034748
2018,-75.054436
2019,189.58086
2020,130.30273
2021,56.783978
2022,92.6303
2023,-27.408577
2024,197.0698
